artist,link,track
Danyel Gerard,http://web.tiscali.it/krokozahn26/0001%20-%20Danyel%20Gerard%20-%20Butterfly.jpg,Butterfly
Boney M,http://web.tiscali.it/krokozahn27/0002%20-%20Boney%20M%20-%20Rivers%20Of%20Babylon.jpg,Rivers Of Babylon
Sarah Brightman & Andrea Bocelli,http://web.tiscali.it/krokozahn28/0003%20-%20Sarah%20Brightman%20&%20Andrea%20Bocelli%20-%20Time%20To%20Say%20Goodby.jpg,Time To Say Goodbye
Scorpions,http://web.tiscali.it/krokozahn29/0004%20-%20Scorpions%20-%20Winds%20of%20Change.jpg,Winds of Change
Dr Alban,http://web.tiscali.it/krokozahn30/0005%20-%20Dr%20Alban%20-%20It%27s%20My%20Life.jpg,It's My Life
George Baker Selection,http://web.tiscali.it/krokozahn31/0006%20-%20George%20Baker%20Selection%20-%20Una%20Paloma%20Blanca.jpg,Una Paloma Blanca
Vangelis,http://web.tiscali.it/krokozahn32/0007%20-%20Vangelis%20-%20Conquest%20of%20Paradise.jpg,Conquest of Paradise
Gombay Dance Band,http://web.tiscali.it/krokozahn33/0008%20-%20Gombay%20Dance%20Band%20-%20Sun%20Of%20Jamaica.jpg,Sun Of Jamaica
Matthias Reim,"http://web.tiscali.it/krokozahn34/0009%20-%20Matthias%20Reim%20-%20Verdammt,%20ich%20lieb%27%20dich.jpg","Verdammt, ich lieb' dich"
Vader Abraham,http://web.tiscali.it/krokozahn35/0010%20-%20Vader%20Abraham%20-%20Das%20Lied%20Der%20Schluempfe.jpg,Das Lied Der Schlümpfe
Snap,http://web.tiscali.it/krokozahn36/0011%20-%20Snap%20-%20Rhythm%20Is%20A%20Dancer.jpg,Rhythm Is A Dancer
George McCrae,http://web.tiscali.it/krokozahn37/0012%20-%20George%20McCrae%20-%20Rock%20your%20baby.jpg,Rock your baby
Celine Dion,http://web.tiscali.it/krokozahn38/0013%20-%20Celine%20Dion%20-%20My%20Heart%20Will%20Go.jpg,My Heart Will Go
Boney M,http://web.tiscali.it/krokozahn39/0014%20-%20Boney%20M%20-%20Daddy%20Cool.jpg,Daddy Cool
Brian Adams,http://web.tiscali.it/krokozahn40/0015%20-%20Brian%20Adams%20-%20Everything%20I%20Do%20I%20Do%20It%20For%20You.jpg,Everything I Do I Do It For You
